surname,firstName,height
Micha, l,1.98
SCHNYDER, Lars,1.95
SCHOONBROODT, Bob,1.93
SIEBERG, Marcel,1.98
SILVAGGI, Mirko,1.95
SINKELDAM, Ramon,1.93
SMITH, Caleb,1.93
SPIES, Jean,1.90
SPRICK, Matthieu,1.90
STAMSNIJDER, Tom,1.91
STANNARD, Ian,1.90
STAUFF, Andreas,1.92
STEEGMANS, Gert,1.90
STOCEK, Matus,1.90
SWIFT, Connor,1.90
TANFIELD, Charlie,1.92
TANFIELD, Harry,1.90
TENNANT, Andrew,1.91
TERPSTRA, Niki,1.90
THALMANN, Roland,1.93
THEVENOT, Guillaume,1.90
THURAU, Björn,1.93
TUOMEY, Simon,1.90
VAHTRA, Norman,1.92
VAN AERT, Wout,1.90
VAN DEN BRANDE, Julien,1.94
VAN DIJKE, Mick,1.90
VAN HOOYDONCK, Nathan,1.92
VAN KEIRSBULCK, Guillaume,1.92
VAN MOER, Brent,1.90
VAN SCHIP, Jan-Willem,1.94
VAN ZYL, Johan,1.90
VANDENBERGH, Stijn,1.99
VANDEWIELE, Frederick,1.92
VANMARCKE, Sep,1.90
VANSPEYBROECK, Tim,1.90
VANSUMMEREN, Johan,1.97
VENTER, Jacobus,1.90
VERMEERSCH, Florian,1.93
VOGT, Mario,
VOIGT, Jens,1.90
VON FOLSACH, Casper,1.91
VOSEKALNS, Andris,1.94
WÆRENSKJOLD, Søren,1.91
WÆRSTED, Syver,1.93
WALKOWIAK, Kacper,1.90
WALL, Christopher,1.91
WALSCHEID, Max,1.95
WATSON, Calvin,1.92
WIGGINS, Bradley,1.90
WILLIAM BLUME, Levy,1.90
WIRTGEN, Tom,1.90
WISNIOWSKI, Lukasz,1.91
WOLFE, Benjamin,1.91
WYNANTS, Maarten,1.90
ZINGG, Olivier,1.91
ZIRBEL, Tom,1.96
